latitude,longitude,name,similar_entries
13.022860036406271,77.6889113638505,kbyJYJzqEVkEmpc,0
13.093674816189669,77.70277883001796,qbgufTPzZEkxNHV,0
12.902878648292315,77.63320683133851,XWIXkuyDacCmsaE,0
12.864532497107326,77.73143549579069,PWMPzEhgQSIJFtLl,1
12.865321165438637,77.7314729992191,PWMPzEhgQSIJFtL,1
13.070456018571468,77.61095504838325,MHveToenbpcMPeW,0
13.002355807337722,77.68354833818422,WItnvWIntfoiilf,0
12.98265490445029,77.59337744207735,DPjNIjFDGUdRaNP,0
13.065281841410734,77.47249963352621,SMLuzwDVgJxZDJm,0
12.990463234256683,77.67294947673729,vAbbuCYbFLCXICj,0
12.909937845030036,77.68557472225271,rLfczOfLhEoRnGZ,0
12.938959131040832,77.46586954486291,edieHBeImKgBQAJ,0
12.901291142437978,77.67374439217214,GOwLhWmXEfYOmVX,0
12.889252276801471,77.59694536804952,orOQKFbRAoHeqcJ,0
13.093738229959008,77.71307803700402,CdWAxHeYVjKBRoq,0
12.983261295304194,77.67860107706478,lqKiDFBZBTWUez,1
12.98372612827221,77.67840867602989,lqKiDFBZBTWXUez,1
12.90105404569474,77.72835216668719,eNmJDTcGphYUOiL,0
12.873688787580445,77.50616775642054,sjislLxiXZmXLXrA,1
12.874079493237168,77.50552922468972,sjislLxiXZmXLXr,1
12.999143465806814,77.6242709621707,PMiOQVrAkdXaIku,0
12.990843895648302,77.5440597112632,tnbuHQPEFCTHbM,1
12.99117668224228,77.54470053564766,KtnbuHQPEFCTHbM,1
12.91219248439651,77.73902379020363,XLAftyVglwWYsGW,0
13.082419121567929,77.49799200257667,rZxvAzqBqmxjOvp,0
12.912486140806315,77.7199094108049,zQDGraifUKPvJXrh,1
12.912090285613802,77.72061060421989,zQDGraifUKPvJXr,1
12.999385526105842,77.52447072691433,nDUUMkFmhvWSeKA,0
12.878808961138802,77.59037237914158,pTSAacswfCkLTrH,0
12.951539591047544,77.47294796577847,LnDIkeWZGiDzBbG,0
12.8882750559302,77.6045936367366,ChJfRzoluYXLLJA,0
12.983947369705833,77.65270791483387,SwTyWHAtgBNNwyO,0
12.988933299672844,77.6135886686879,kpkmIKHoUVIufgD,0
12.878666224798664,77.58388550743625,IcpEXtdzmmRLCWr,0
12.995080173448487,77.65264226480396,AjpQlKTWzTIbhZR,0
12.89721099801046,77.54057680717833,fsJxXgslhutMiTc,0
12.87863062732313,77.61571364347697,KdyidcbCRDnYnmN,0
12.865956458252535,77.7382320646334,QFXbeahTXokzxXE,0
13.009243799656282,77.47278516130243,IcDAjGOxTMfSHPF,0
13.038364959722797,77.65188765834407,TVAaGCcKLfPKBSc,0
12.890396541175786,77.51178720489396,ZqYiEiXtnNdnMQd,0
13.05053951541846,77.5644645133722,skziWqCsJpYkKUr,0
13.094561099592813,77.70123553132788,EzXfmMXrcmOPODa,0
12.996804308584515,77.67688770773503,osLsWAOQUdGDZYQ,0
13.082417744951508,77.48956202410079,xaxGBTpqceCpeQo,0
13.094635211576126,77.67534984195395,vowfjrCAhFjsuFU,0
13.060097162171068,77.5292802194977,sTPYKDcRDklHquz,0
12.957686677642144,77.44905194090286,hERpHEmvMnatBqq,0
